index,label,order_value_angstrom,mace_energy_ev,dft_energy_hartree,fci_energy_hartree,mace_relative_kcal_mol,dft_relative_kcal_mol,fci_relative_kcal_mol
0,benzene_dimer_parallel_scan:0,2.8000000000000003,-12637.375618290933,-464.4118072533197,-461.52143714986715,0.0,0.0,0.0
1,benzene_dimer_parallel_scan:1,3.0,-12637.931121513931,-464.4347331831301,-461.5534580215605,-12.810208644022124,-14.386238157734763,-20.093400355337025
2,benzene_dimer_parallel_scan:2,3.1999999999999997,-12638.24737863801,-464.44655722114396,-461.5719688557329,-20.103271180622894,-21.80593403310913,-31.709124171318248
3,benzene_dimer_parallel_scan:3,3.399999999999999,-12638.409125394573,-464.45223397464906,-461.6064072761848,-23.833239996789924,-25.368150639478763,-53.319559276659426
4,benzene_dimer_parallel_scan:4,3.600000000000001,-12638.479081053978,-464.4546211361402,-461.61290977291225,-25.446455826510196,-26.866117091280067,-57.39993757817919
5,benzene_dimer_parallel_scan:5,3.7999999999999994,-12638.499202012406,-464.4553479263051,-461.6167428611019,-25.910456150745723,-27.322184805404394,-59.805236732103985
6,benzene_dimer_parallel_scan:6,4.0,-12638.495969780459,-464.4553107956182,-461.61901772185547,-25.835919111319598,-27.298884947592676,-61.23273340714501
7,benzene_dimer_parallel_scan:7,4.5,-12638.466707262885,-464.4543635474505,-461.62083116698835,-25.16110942517289,-26.704477748086855,-62.370687408721686
8,benzene_dimer_parallel_scan:8,5.0,-12638.440591510534,-464.4535081819713,-461.6218400125562,-24.558865868950953,-26.16772780610456,-63.00374756042456
9,benzene_dimer_parallel_scan:9,6.0,-12638.414111239923,-464.4526654948304,-461.62277476386794,-23.94821632194671,-25.638933641517045,-63.59031286442014
